user_id,username,full_name,email,phone,password,address,city,country,gender,date_of_birth,loyalty_points,is_active,created_at
1,vucuong1,Vu Cuong,vucuong1@gmail.com,0954332071,password1,187 Hai Ba Trung,Ha Noi,Viet Nam,Male,04/10/1991,3359,TRUE,2025-12-02T08:06:51.736
2,hoangduckhanh2,Hoang Duc Khanh,hoangduckhanh2@yahoo.com,0736790874,password2,198 Le Loi,Hai Phong,Viet Nam,Male,24/06/2002,3416,TRUE,2022-05-08T08:06:51.738
3,hohoa3,Ho Hoa,hohoa3@outlook.com,0359556789,password3,291 Cach Mang Thang 8,Ho Chi Minh,Viet Nam,Male,25/02/1975,2132,TRUE,2022-11-14T08:06:51.738
4,vohanh4,Vo Hanh,vohanh4@yahoo.com,0345255629,password4,32 Hai Ba Trung,Nha Trang,Viet Nam,Female,24/02/1976,2512,TRUE,2024-12-18T08:06:51.738
5,dangngockhanh5,Dang Ngoc Khanh,dangngockhanh5@outlook.com,0356449250,password5,288 Ly Thuong Kiet,Da Nang,Viet Nam,Female,22/01/1996,364,TRUE,2025-07-30T08:06:51.738
6,tranthiduc6,Tran Thi Duc,tranthiduc6@yahoo.com,0791403047,password6,192 Ly Thuong Kiet,Ho Chi Minh,Viet Nam,Male,19/03/1987,2840,FALSE,2022-08-31T08:06:51.738
7,huynhductuan7,Huynh Duc Tuan,huynhductuan7@yahoo.com,0827343401,password7,126 Le Loi,Da Nang,Viet Nam,Male,08/05/1978,1334,TRUE,2023-04-14T08:06:51.738
8,hoangan8,Hoang An,hoangan8@yahoo.com,0997568312,password8,166 Le Loi,Can Tho,Viet Nam,Male,08/03/1997,3711,TRUE,2024-05-29T08:06:51.738
9,dotuan9,Do Tuan,dotuan9@yahoo.com,0842329954,password9,11 Tran Hung Dao,Ha Noi,Viet Nam,Female,11/07/1989,3117,TRUE,2024-05-30T08:06:51.738
10,dangkhanh10,Dang Khanh,dangkhanh10@yahoo.com,0745465738,password10,220 Le Loi,Da Nang,Viet Nam,Female,14/03/1975,863,TRUE,2023-11-23T08:06:51.738
11,ngovan11,Ngo Van,ngovan11@yahoo.com,0366293367,password11,38 Tran Hung Dao,Ha Noi,Viet Nam,Female,25/11/1996,4733,TRUE,2025-02-07T08:06:51.738
12,phamquang12,Pham Quang,phamquang12@gmail.com,0573824796,password12,218 Vo Van Tan,Nha Trang,Viet Nam,Male,25/09/1972,1414,TRUE,2023-12-18T08:06:51.738
13,duongtrang13,Duong Trang,duongtrang13@gmail.com,0847840059,password13,215 Cach Mang Thang 8,Can Tho,Viet Nam,Female,21/04/1970,4409,FALSE,2024-03-18T08:06:51.738
14,dangthao14,Dang Thao,dangthao14@gmail.com,0847399926,password14,205 Le Loi,Hai Phong,Viet Nam,Female,06/04/1995,3593,TRUE,2024-04-10T08:06:51.738
15,hoduc15,Ho Duc,hoduc15@yahoo.com,0717596715,password15,193 Hai Ba Trung,Can Tho,Viet Nam,Female,31/05/2001,705,FALSE,2024-03-06T08:06:51.738
16,huynhcuong16,Huynh Cuong,huynhcuong16@outlook.com,0381474426,password16,171 Vo Van Tan,Ha Noi,Viet Nam,Male,16/11/1994,2111,TRUE,2024-05-29T08:06:51.738
17,vuthihoa17,Vu Thi Hoa,vuthihoa17@outlook.com,0596271524,password17,131 Hai Ba Trung,Can Tho,Viet Nam,Female,08/06/1979,378,TRUE,2022-08-20T08:06:51.738
18,buiviet18,Bui Viet,buiviet18@yahoo.com,03942161,password18,48 Vo Van Tan,Can Tho,Viet Nam,Female,28/05/1970,3869,TRUE,2022-04-07T08:06:51.738
19,huynhngochung19,Huynh Ngoc Hung,huynhngochung19outlook.com,0861016973,password19,297 Tran Hung Dao,Ha Noi,Viet Nam,Female,10/05/2004,2554,TRUE,2022-05-29T08:06:51.738
20,ngoanhhanh20,Ngo Anh Hanh,ngoanhhanh20@outlook.com,0988386915,password20,246 Nguyen Trai,Nha Trang,Viet Nam,Male,16/11/1999,2606,TRUE,2023-07-05T08:06:51.738
21,huynhhoa21,Huynh Hoa,huynhhoa21@,0887822787,password21,117 Hai Ba Trung,Can Tho,Viet Nam,Male,16/10/1994,2289,TRUE,2022-06-10T08:06:51.738
22,phamthibinh22,Pham Thi Binh,phamthibinh22@outlook.com,0783518595,password22,226 Nguyen Trai,Da Nang,Viet Nam,Male,30/11/2004,4813,TRUE,2022-02-02T08:06:51.738
23,duongan23,Duong An,duongan23@yahoo.com,08143402,password23,154 Nguyen Trai,Hai Phong,Viet Nam,Female,08/01/2004,590,TRUE,2022-02-15T08:06:51.738
24,tranminh24,Tran Minh,tranminh24@outlook.com,0315707464,password24,290 Cach Mang Thang 8,Can Tho,Viet Nam,Male,30/11/1974,581,TRUE,2025-09-20T08:06:51.738
25,voviet25,Vo Viet,voviet25@outlook.com,0388338330,password25,223 Vo Van Tan,Hai Phong,Viet Nam,Male,23/12/1984,2333,TRUE,2024-01-09T08:06:51.738
26,tranthanhquang26,Tran Thanh Quang,tranthanhquang26@,0332976093,password26,18 Vo Van Tan,Ha Noi,Viet Nam,Female,02/04/1972,1589,TRUE,2024-01-07T08:06:51.738
